2025-04-27 21:46:04 | Sistema | Hilos | ÉXITO | Sistema de hilos iniciado correctamente
2025-04-27 21:46:10 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-27 21:46:22 | admin | Cierre de sesión | ÉXITO | Administrador cerró sesión: Administrador General
2025-04-27 21:46:31 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-27 21:46:35 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-27 21:46:35 | Sistema | Hilos | ÉXITO | Sistema de hilos detenido correctamente
2025-04-27 21:46:37 | Sistema | Carga de datos | ÉXITO | Se cargaron los datos del sistema correctamente
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP001
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP002
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP003
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP004
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP005
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP006
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP007
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP008
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP009
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP010
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP011
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP012
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP013
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP014
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP015
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP016
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP017
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP018
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP019
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP020
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP021
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP022
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP023
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP024
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP025
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP026
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP027
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP028
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP029
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP030
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP001
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP002
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP003
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP004
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP005
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP006
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP007
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP008
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP009
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP010
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP011
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP012
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP013
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP014
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP015
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP016
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP017
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP018
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP019
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP020
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP021
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP022
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP023
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP024
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP025
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP026
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP027
2025-04-27 21:46:38 | Sistema | Registro de repuesto | ERROR | Se intentó registrar un repuesto con ID duplicado: REP028
